ra,dec,r_auto,g_auto-r_auto,FLUX_RADIUS_50,D_CENTER/R200_deg,z,zml,radius_Mpc,flag_member,flag_member_photz1,odds,name,label,prob1
18.734989,0.439594,17.066844940185547,0.8275985717773438,3.279651165008545,0.019687663063951158,0.044967,0.061,0.01871,0.0,,0.99455917,A168,members,
18.739933,0.4308,13.47531509399414,0.8390169143676758,21.315649032592773,0.022788200317742764,0.044819,0.044918366,0.021666,0.0,,0.9986228,A168,members,
18.774382,0.429761,18.03890419006348,0.22540473937987926,6.91719913482666,0.11687806384111854,0.044819,0.048836734,0.111035,0.0,,0.7900894,A168,members,
18.729739,0.475673,17.107322692871094,0.8328227996826172,3.8604576587677,0.1330614103087274,0.045145,0.045591835,0.126407,0.0,,0.9958749,A168,members,
18.765217,0.405216,14.520483016967772,0.7922191619873065,10.796028137207031,0.13681493076479634,0.044669,0.041755103,0.129989,0.0,,0.99561775,A168,members,
18.775006,0.415393,17.123279571533203,0.8340969085693359,2.688079595565796,0.13785398712921118,0.045177,0.06591836,0.13097,0.0,,0.99318296,A168,members,
18.733774,0.391531,16.485599517822266,0.8932113647460938,4.019606590270996,0.15629978989375734,0.044254,0.058163267,0.148513,0.0,,0.99521536,A168,members,
18.780553,0.465857,15.152804374694824,0.8607912063598633,7.216064929962158,0.16482917503460803,0.042413,0.04667347,0.156583,0.0,,0.9978949,A168,members,
18.725852,0.50741,15.325416564941406,0.8429946899414062,5.135900974273682,0.23980679713476738,0.043751,0.0447551,0.227822,0.0,,0.9987923,A168,members,
18.695979,0.367255,19.254928588867188,0.5370712280273438,4.376904010772705,0.2795906301952688,0.04401,0.033408165,0.26565,0.0,,0.595511,A168,members,
18.805329,0.491226,17.25933837890625,0.5242862701416016,4.988842010498047,0.28283263994499297,0.042349,0.0307551,0.268695,0.0,,0.9288325,A168,members,
18.819631,0.396848,18.16482734680176,0.3745193481445277,4.930155754089356,0.2990666213116433,0.043525,0.0272449,0.284132,0.0,,0.79451597,A168,members,
18.737163,0.533669,17.106094360351562,0.8467693328857422,3.838758230209351,0.3231416662605074,0.044005,0.052163266,0.306994,0.0,,0.9811723,A168,members,
18.695554,0.524689,15.061145782470703,0.8926362991333008,5.411505222320557,0.3294055659834459,0.045394,0.048244897,0.312952,0.0,,0.99850667,A168,members,
18.647071,0.473827,17.464481353759766,0.6764926910400391,4.850373268127441,0.33670462036127,0.043421,0.063163266,0.3199,0.0,,0.90780854,A168,members,
18.803708,0.342314,15.445038795471191,0.840174674987793,5.786101818084717,0.3841362584574867,0.045055,0.049591836,0.364963,0.0,,0.9960617,A168,members,
18.772866,0.322225,15.359795570373535,0.8345441818237305,5.286811828613281,0.4025334778024682,0.041841,0.038408168,0.382448,0.0,,0.9986102,A168,members,
18.809758,0.338725,16.090864181518555,0.7599277496337891,6.179067134857178,0.4055566202238299,0.046726,0.030163264,0.385314,0.0,,0.9966273,A168,members,
18.616046,0.396712,19.206418991088867,0.8180370330810511,3.3246283531188965,0.44007788312299656,0.046054,0.057673473,0.41812,0.0,,0.8147831,A168,members,
18.759778,0.307461,16.328041076660156,0.8549060821533203,4.082664966583252,0.44193978773964443,0.046183,0.045510203,0.419888,0.0,,0.9965488,A168,members,
18.726034,0.303314,14.809466361999512,0.9097433090209961,7.935933113098144,0.4536987768973885,0.044264,0.0487551,0.431063,0.0,,0.9976132,A168,members,
18.643934,0.342817,17.614294052124023,0.6429214477539062,5.9009928703308105,0.45453052105377406,0.04736,0.044999998,0.431854,0.0,,0.78824073,A168,members,
18.742403,0.297269,,,,0.47144997111897385,0.04542,,0.447927,0.0,,,A168,members,
18.602824,0.408072,15.9766845703125,0.8977832794189453,4.658403873443604,0.4730466404446974,0.046591,0.047326528,0.449442,0.0,,0.9979372,A168,members,
18.785024,0.303604,16.023406982421875,0.8246345520019531,5.628496646881104,0.4743477476144601,0.046426,0.044163264,0.450676,0.0,,0.9969857,A168,members,
18.634403,0.53206,15.972208023071287,0.834989547729494,4.2387895584106445,0.4773711567676147,0.047596,0.043591835,0.453538,0.0,,0.99811035,A168,members,
18.600084,0.47002,16.5262451171875,0.8373527526855469,5.932866096496582,0.4842033787330312,0.046946,0.049163263,0.460037,0.0,,0.9763775,A168,members,
18.786404,0.576008,15.027647018432615,0.9018907546997088,4.804012775421143,0.49013707027541326,0.045383,0.0487551,0.46565,0.0,,0.9987543,A168,members,
18.734057,0.291416,17.18079948425293,0.8018646240234375,3.775207042694092,0.49154775373199416,0.047225,0.047591835,0.467022,0.0,,0.9608637,A168,members,
18.625938,0.528953,16.36979103088379,0.8504085540771484,5.06907320022583,0.492389615079856,0.046669,0.04832653,0.467808,0.0,,0.9544881,A168,members,
18.786689,0.297002,16.189809799194336,0.7383308410644531,6.79013729095459,0.4971668244396702,0.045797,0.032836735,0.472355,0.0,,0.99412376,A168,members,
18.818038,0.309503,17.589488983154297,0.4148216247558594,5.734978199005127,0.5030553366353365,0.043291,0.026836736,0.477946,0.0,,0.96182483,A168,members,
18.593445,0.468166,,,,0.5046564418885036,0.04163,,0.47947,0.0,,,A168,members,
18.797198,0.576762,17.562210083007812,0.7591915130615234,2.706112861633301,0.5050799952415432,0.044492,0.04991837,0.479846,0.0,,0.99038535,A168,members,
18.870211,0.514878,16.004478454589844,0.547576904296875,5.409528255462647,0.507450369311931,0.043955,0.04667347,0.4821,0.0,,0.96136045,A168,members,
18.628284,0.32446,14.658802032470703,0.7641620635986328,13.067633628845217,0.5353156703454028,0.043627,0.039591834,0.508606,0.0,,0.9971621,A168,members,
