i,dim_reduction,model_type,best_score,best_params
1,umap_supervised,xgboost,0.599812521499828,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 100, ""model_type__max_depth"": 6, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 1.0, ""dim_reduction__spread"": 0.9, ""dim_reduction__n_neighbors"": 70, ""dim_reduction__n_components"": 12, ""dim_reduction__min_dist"": 0.3, ""dim_reduction__metric"": ""cosine""}"
1,umap_supervised,lightgbm,0.6084798188281161,"{""model_type__subsample"": 1.0, ""model_type__reg_lambda"": 0.1, ""model_type__reg_alpha"": 0.1, ""model_type__num_leaves"": 15, ""model_type__n_estimators"": 200, ""model_type__min_data_in_leaf"": 10, ""model_type__max_depth"": 15, ""model_type__learning_rate"": 0.001, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.3, ""dim_reduction__spread"": 1.5, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 12, ""dim_reduction__min_dist"": 0.5, ""dim_reduction__metric"": ""cosine""}"
1,umap_supervised,mlpclassifier,0.6054492030730421,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""constant"", ""model_type__hidden_layer_sizes"": [200, 100], ""model_type__alpha"": 0.01, ""model_type__activation"": ""logistic"", ""dim_reduction__spread"": 2.0, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 12, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
1,umap_supervised,assembled,0.8743385996084548,{}
2,,balanced_random_forest,0.8054714199381874,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 50, ""model_type__min_samples_split"": 5, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": 30, ""model_type__bootstrap"": true}"
2,,support_vector_machine,0.7780928451834103,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.5, ""model_type__C"": 1}"
2,,xgboost,0.7995098644416864,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 0.6}"
2,,lightgbm,0.8051191814153704,"{""model_type__subsample"": 0.5, ""model_type__reg_lambda"": 0.01, ""model_type__reg_alpha"": 0.1, ""model_type__num_leaves"": 15, ""model_type__n_estimators"": 500, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.1, ""model_type__is_unbalance"": false, ""model_type__colsample_bytree"": 0.8}"
2,,mlpclassifier,0.7817569589143367,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 500, ""model_type__learning_rate"": ""adaptive"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.0001, ""model_type__activation"": ""logistic""}"
2,,assembled,0.9706039581537024,{}
2,pca,balanced_random_forest,0.784049994253992,"{""model_type__sampling_strategy"": ""not majority"", ""model_type__replacement"": false, ""model_type__n_estimators"": 200, ""model_type__min_samples_split"": 10, ""model_type__min_samples_leaf"": 2, ""model_type__max_depth"": null, ""model_type__bootstrap"": true, ""dim_reduction__n_components"": 10}"
2,pca,support_vector_machine,0.7780928451834103,"{""model_type__kernel"": ""linear"", ""model_type__gamma"": 0.5, ""model_type__C"": 1, ""dim_reduction__n_components"": 10}"
2,pca,xgboost,0.7747103657674671,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 10, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.01, ""model_type__colsample_bytree"": 0.6, ""dim_reduction__n_components"": 10}"
2,pca,lightgbm,0.7723938239228942,"{""model_type__subsample"": 0.7, ""model_type__reg_lambda"": 1, ""model_type__reg_alpha"": 0, ""model_type__num_leaves"": 31, ""model_type__n_estimators"": 100, ""model_type__min_data_in_leaf"": 50, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.005, ""model_type__is_unbalance"": true, ""model_type__colsample_bytree"": 0.7, ""dim_reduction__n_components"": 10}"
2,pca,mlpclassifier,0.7807743784201839,"{""model_type__solver"": ""adam"", ""model_type__max_iter"": 200, ""model_type__learning_rate"": ""invscaling"", ""model_type__hidden_layer_sizes"": [100, 50], ""model_type__alpha"": 0.005, ""model_type__activation"": ""relu"", ""dim_reduction__n_components"": 10}"
2,pca,assembled,0.9558268286324652,{}
2,umap,balanced_random_forest,0.7757990249416828,"{""model_type__sampling_strategy"": ""all"", ""model_type__replacement"": false, ""model_type__n_estimators"": 500, ""model_type__min_samples_split"": 10, ""model_type__min_samples_leaf"": 4, ""model_type__max_depth"": 30, ""model_type__bootstrap"": true, ""dim_reduction__spread"": 1.1, ""dim_reduction__n_neighbors"": 50, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""euclidean""}"
2,umap,support_vector_machine,0.7779137288605175,"{""model_type__kernel"": ""rbf"", ""model_type__gamma"": ""scale"", ""model_type__C"": 0.1, ""dim_reduction__spread"": 1.7, ""dim_reduction__n_neighbors"": 100, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.1, ""dim_reduction__metric"": ""euclidean""}"
2,umap,xgboost,0.7519610336916949,"{""model_type__subsample"": 0.8, ""model_type__reg_lambda"": 1, ""model_type__n_estimators"": 500, ""model_type__max_depth"": 10, ""model_type__learning_rate"": 0.2, ""model_type__colsample_bytree"": 0.8, ""dim_reduction__spread"": 1.1, ""dim_reduction__n_neighbors"": 30, ""dim_reduction__n_components"": 10, ""dim_reduction__min_dist"": 0.9, ""dim_reduction__metric"": ""cosine""}"
