ra,dec,r_auto,g_auto-r_auto,FLUX_RADIUS_50,D_CENTER/R200_deg,z,zml,radius_Mpc,flag_member,flag_member_photz1,odds,name,label,prob1,prob2
18.734989,0.439594,17.066844940185547,0.8275985717773438,3.279651165008545,0.019687663063951158,0.044967,0.061,0.01871,0.0,,0.99455917,A168,members,0.9263479709625244,0.07365204393863678
18.739933,0.4308,13.47531509399414,0.8390169143676758,21.315649032592773,0.022788200317742764,0.044819,0.044918366,0.021666,0.0,,0.9986228,A168,members,0.888837456703186,0.11116257309913635
18.774382,0.429761,18.03890419006348,0.22540473937987926,6.91719913482666,0.11687806384111854,0.044819,0.048836734,0.111035,0.0,,0.7900894,A168,members,0.9590452313423157,0.04095478355884552
18.729739,0.475673,17.107322692871094,0.8328227996826172,3.8604576587677,0.1330614103087274,0.045145,0.045591835,0.126407,0.0,,0.9958749,A168,members,0.9491579532623291,0.05084202438592911
18.765217,0.405216,14.520483016967772,0.7922191619873065,10.796028137207031,0.13681493076479634,0.044669,0.041755103,0.129989,0.0,,0.99561775,A168,members,0.9221201539039612,0.07787983119487762
18.775006,0.415393,17.123279571533203,0.8340969085693359,2.688079595565796,0.13785398712921118,0.045177,0.06591836,0.13097,0.0,,0.99318296,A168,members,0.9524317979812622,0.04756823182106018
18.733774,0.391531,16.485599517822266,0.8932113647460938,4.019606590270996,0.15629978989375734,0.044254,0.058163267,0.148513,0.0,,0.99521536,A168,members,0.9445616006851196,0.05543841794133186
18.780553,0.465857,15.152804374694824,0.8607912063598633,7.216064929962158,0.16482917503460803,0.042413,0.04667347,0.156583,0.0,,0.9978949,A168,members,0.8711713552474976,0.12882865965366364
18.725852,0.50741,15.325416564941406,0.8429946899414062,5.135900974273682,0.23980679713476738,0.043751,0.0447551,0.227822,0.0,,0.9987923,A168,members,0.9560890197753906,0.04391097277402878
18.695979,0.367255,19.254928588867188,0.5370712280273438,4.376904010772705,0.2795906301952688,0.04401,0.033408165,0.26565,0.0,,0.595511,A168,members,0.9457183480262756,0.054281678050756454
18.805329,0.491226,17.25933837890625,0.5242862701416016,4.988842010498047,0.28283263994499297,0.042349,0.0307551,0.268695,0.0,,0.9288325,A168,members,0.9512173533439636,0.048782624304294586
18.819631,0.396848,18.16482734680176,0.3745193481445277,4.930155754089356,0.2990666213116433,0.043525,0.0272449,0.284132,0.0,,0.79451597,A168,members,0.9567902088165283,0.04320981353521347
18.737163,0.533669,17.106094360351562,0.8467693328857422,3.838758230209351,0.3231416662605074,0.044005,0.052163266,0.306994,0.0,,0.9811723,A168,members,0.9429933428764343,0.05700664967298508
18.695554,0.524689,15.061145782470703,0.8926362991333008,5.411505222320557,0.3294055659834459,0.045394,0.048244897,0.312952,0.0,,0.99850667,A168,members,0.9183472394943237,0.08165276050567627
18.647071,0.473827,17.464481353759766,0.6764926910400391,4.850373268127441,0.33670462036127,0.043421,0.063163266,0.3199,0.0,,0.90780854,A168,members,0.946825385093689,0.05317460745573044
18.803708,0.342314,15.445038795471191,0.840174674987793,5.786101818084717,0.3841362584574867,0.045055,0.049591836,0.364963,0.0,,0.9960617,A168,members,0.9535866379737854,0.0464133620262146
18.772866,0.322225,15.359795570373535,0.8345441818237305,5.286811828613281,0.4025334778024682,0.041841,0.038408168,0.382448,0.0,,0.9986102,A168,members,0.9256805181503296,0.07431948184967041
18.809758,0.338725,16.090864181518555,0.7599277496337891,6.179067134857178,0.4055566202238299,0.046726,0.030163264,0.385314,0.0,,0.9966273,A168,members,0.9388771057128906,0.06112287566065788
18.616046,0.396712,19.206418991088867,0.8180370330810511,3.3246283531188965,0.44007788312299656,0.046054,0.057673473,0.41812,0.0,,0.8147831,A168,members,0.8566315174102783,0.14336849749088287
18.759778,0.307461,16.328041076660156,0.8549060821533203,4.082664966583252,0.44193978773964443,0.046183,0.045510203,0.419888,0.0,,0.9965488,A168,members,0.9393348693847656,0.06066512316465378
18.726034,0.303314,14.809466361999512,0.9097433090209961,7.935933113098144,0.4536987768973885,0.044264,0.0487551,0.431063,0.0,,0.9976132,A168,members,0.9268642067909241,0.07313578575849533
18.643934,0.342817,17.614294052124023,0.6429214477539062,5.9009928703308105,0.45453052105377406,0.04736,0.044999998,0.431854,0.0,,0.78824073,A168,members,0.9404551386833191,0.059544868767261505
18.742403,0.297269,,,,0.47144997111897385,0.04542,,0.447927,0.0,,,A168,members,,
18.602824,0.408072,15.9766845703125,0.8977832794189453,4.658403873443604,0.4730466404446974,0.046591,0.047326528,0.449442,0.0,,0.9979372,A168,members,0.9621574878692627,0.037842512130737305
18.785024,0.303604,16.023406982421875,0.8246345520019531,5.628496646881104,0.4743477476144601,0.046426,0.044163264,0.450676,0.0,,0.9969857,A168,members,0.9400413632392883,0.059958647936582565
18.634403,0.53206,15.972208023071287,0.834989547729494,4.2387895584106445,0.4773711567676147,0.047596,0.043591835,0.453538,0.0,,0.99811035,A168,members,0.9238646626472473,0.07613534480333328
18.600084,0.47002,16.5262451171875,0.8373527526855469,5.932866096496582,0.4842033787330312,0.046946,0.049163263,0.460037,0.0,,0.9763775,A168,members,0.9521034955978394,0.04789650812745094
18.786404,0.576008,15.027647018432615,0.9018907546997088,4.804012775421143,0.49013707027541326,0.045383,0.0487551,0.46565,0.0,,0.9987543,A168,members,0.9221093654632568,0.07789060473442078
18.734057,0.291416,17.18079948425293,0.8018646240234375,3.775207042694092,0.49154775373199416,0.047225,0.047591835,0.467022,0.0,,0.9608637,A168,members,0.9548510909080505,0.045148901641368866
